frameIndex;frameTime;pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13];pcm_fftMag_mfcc[14];pcm_fftMag_mfcc[15];pcm_fftMag_mfcc[16]
289;2.896553;4.080910e+000;7.708820e+000;5.943977e+000;1.231356e+001;9.833320e+000;2.132712e+000;-2.616995e+000;-4.490652e+000;1.133706e+000;-7.077572e+000;-2.769811e+000;8.700541e+000;1.156488e+001;1.557539e+001;-5.294342e+000;-5.445794e+000
290;2.906576;2.300802e+000;6.398652e+000;6.842019e+000;9.875910e+000;1.731260e+001;4.618024e+000;-6.559258e+000;2.605893e+000;1.037028e+001;1.186502e+001;-1.017594e+001;-2.048836e-001;6.264247e+000;5.615210e+000;-1.686905e+000;-3.944436e+000
291;2.916599;1.633288e+000;2.736525e+000;8.962136e+000;1.911866e+001;2.118098e+001;7.050537e+000;-1.133722e+001;9.330188e-001;7.693438e+000;6.331885e+000;-9.282071e+000;-5.905606e+000;5.639891e+000;5.374690e+000;-3.866130e+000;8.520902e-001
292;2.926621;-5.338810e-001;-5.351623e+000;1.091303e+001;2.421077e+001;1.032128e+001;-1.007279e+001;-5.166044e+000;1.053797e+001;2.057106e+000;6.996861e-001;-6.633843e+000;-3.664612e+000;-2.477044e-001;1.722415e+000;4.132044e+000;-1.335769e+000
293;2.936644;-6.799839e+000;2.270622e+000;1.609708e+001;1.832088e+001;-1.682149e+001;-1.578740e+001;8.686558e+000;1.670067e+001;-1.547562e+001;-1.412729e+001;2.984341e+000;-9.587687e+000;-7.369938e+000;-1.965278e+000;7.089900e+000;-4.968407e+000
294;2.946667;-2.645579e+000;9.859443e-001;1.408716e+001;1.354316e+001;-1.080861e+001;-8.901247e+000;2.248627e+000;-8.653105e+000;-2.217080e+001;-1.232400e+001;-9.696896e+000;-5.853021e+000;3.804671e-001;-1.147604e+000;-3.632886e+000;-8.451422e+000
295;2.956689;1.961774e-001;5.133337e+000;1.678714e+001;1.920183e+001;-7.182578e+000;-9.090300e-001;5.749895e+000;-9.761889e+000;-1.781755e+001;-1.515461e+001;-1.601985e+001;-3.751430e+000;-1.798482e+000;6.442702e-001;1.313155e+000;-5.152342e+000
296;2.966712;6.669837e-001;6.055694e+000;1.702477e+001;1.388341e+001;-1.130685e+001;2.427669e+000;-5.035728e+000;-4.313428e+000;-3.963383e+000;-2.177916e+001;-2.234128e+001;-1.857110e+001;-7.837143e+000;-1.769668e+000;6.189616e+000;1.014196e+000
297;2.976735;1.687335e+000;7.372651e+000;1.318718e+001;1.252873e+001;-7.295907e+000;6.939033e-001;-5.808332e+000;-5.681867e+000;-2.242729e+000;-2.294153e+001;-1.686573e+001;-8.551713e+000;-7.710909e+000;2.132598e-001;6.955749e+000;8.790959e-002
298;2.986757;4.845931e+000;3.451886e+000;9.794565e+000;1.261468e+001;3.318798e+000;-3.302032e+000;-8.871270e-001;-4.071617e+000;-1.474678e+001;-2.292667e+001;-9.327827e+000;-6.951036e+000;-4.969155e+000;8.531479e+000;6.199709e+000;1.897706e+000
